subject_id,x,group,continuous,binary,count
1,-1.4765772923017222,control,1.9614478785160647,0,2
2,1.076562824432065,treated,4.896240872550922,1,3
3,-0.2169697213652934,control,2.081292566466002,0,1
4,0.5942757065136073,control,2.4269431691859804,1,4
5,1.1265948175470522,treated,1.9739716903564364,1,1
6,-1.480961505221427,treated,1.941821272767072,1,1
7,-1.1210220748886477,control,1.143752490477869,0,1
8,0.23429443148839493,control,3.06708268871406,1,2
9,-0.3296224614077479,treated,2.244367261885225,0,2
10,0.10212640996700267,treated,1.538219014497169,0,2
11,0.12415710151738797,treated,4.455450360192805,1,3
12,0.4209812458471863,treated,3.36380941532292,1,1
13,0.14715409995252465,treated,2.1551666856985574,1,1
14,-0.1020347053052407,control,3.3412595053683707,1,0
15,-0.4964848764402305,control,0.9123284989722865,1,0
16,-0.6063315730621018,control,1.055444262696588,0,2
17,-0.30056331042796297,control,0.814258133924347,1,0
18,-1.014900698509488,treated,0.9775371201533292,0,4
19,1.5293443958799222,treated,3.8263555491042203,1,4
20,-0.9242817773905666,treated,1.2886896168594935,0,0
21,0.6948023721012634,control,2.7887079618583255,0,3
22,-0.6097765161425254,treated,2.8701777960398553,0,1
23,-0.24656157883578486,treated,4.547446621862166,1,3
24,-0.8678713335519168,control,2.346195037405597,0,1
25,-2.389630862811147,control,0.791573203112012,0,1
26,0.3524981869429419,treated,4.3676980995022525,1,2
27,1.2273932897444015,control,4.1016010206222795,1,0
28,-2.1568833791266337,control,-0.7128901389088965,1,0
29,1.3350225447675608,treated,3.1317535756245007,0,2
30,-0.9126694884195498,control,1.4991718368782272,0,1
31,1.2246056388116051,control,2.8763950061647847,1,1
32,0.7979588137186189,treated,5.551588224133836,1,4
33,-0.23356215815864007,treated,3.1848282866147493,0,1
34,0.29801427402111896,treated,1.2913877950787727,1,1
35,0.8826109787196679,control,1.2048092387335787,0,2
36,-0.23484196215993958,treated,3.064217595865723,1,3
37,0.43888762854493385,treated,2.440330605719404,1,0
38,0.7231734543075733,control,3.3677889784885155,1,0
39,-1.4712418653556856,treated,-0.7076795472397015,0,0
40,0.4895780267047378,treated,2.8811338926166323,1,2
41,-0.8645033335402145,control,1.1067646897131995,1,0
42,0.8856229596701455,control,2.2441103961656776,1,2
43,0.5934443418787446,treated,2.52664492707687,1,1
44,0.5901435590061412,control,1.568847255092153,0,2
45,-0.22591705742801585,control,2.113524598343964,0,2
46,0.007257589369046148,treated,2.6659283999516226,0,1
47,0.6456327768489193,treated,3.61542202910553,1,1
48,-0.657579345908629,control,1.5561193719914979,0,0
49,1.2253390241552424,control,3.2783414220831992,1,1
50,-1.492544563082878,control,2.2803790645950652,0,1
51,-0.4403504125876168,treated,2.8008479420218007,1,0
52,-1.3023295448465377,treated,1.010143500540517,0,6
53,0.1970502898949828,control,2.647787647526568,0,1
54,-0.8599219275210768,treated,2.133171911861801,1,1
55,-0.21163964495346488,treated,1.7155905969005119,1,2
56,1.6679158440316837,treated,2.3221458633599035,1,2
57,-1.127728756588361,control,1.703100385545345,1,2
58,0.30956461545901465,control,1.1988228993089745,1,4
59,-0.44248602781980223,control,0.4563557401452356,0,0
60,0.09549873522091125,treated,3.1827572046832535,0,3
61,-0.1491468573863455,control,2.9054549396642386,1,0
62,0.5222276362292193,control,3.1213566874236323,0,1
63,-0.46059112715900413,treated,2.2938488949670397,1,1
64,-0.31856485923805455,control,3.4383521915258446,1,2
65,-1.0211519115119894,treated,0.05842678062828588,0,0
66,-0.26613478143425856,control,-0.06447711287719415,0,1
67,1.244521371335074,control,1.9920402505420967,1,0
68,-2.0746526635258937,treated,0.2556242262357876,0,1
69,-0.2964653143610424,treated,2.7546706228282503,0,2
70,0.942218722405021,treated,2.170276714663825,1,4
71,-1.339739632814395,treated,1.3889806496446275,0,1
72,-0.7161376097651914,treated,0.15358646275074173,0,1
73,-1.3815482825893288,control,0.10298314071522885,0,0
74,1.4209784285648102,control,2.5664208352395295,1,2
75,-0.2221476031887186,treated,2.604614616055588,0,1
76,1.1345533484384172,control,2.4587301325191993,0,1
77,1.0604842347181955,control,3.636006307185756,1,3
78,0.755293365117186,control,3.383954764421639,1,1
79,0.7505717099666296,control,3.380998247073237,1,6
80,0.7975428252698687,control,2.6117182358614692,1,2
81,-1.3385592583299015,control,1.719359613533531,0,1
82,0.9888335079592123,control,2.8989638063377656,1,1
83,2.509057562059963,control,2.539953692816266,1,6
84,0.18521114989653595,treated,2.054090332360977,1,6
85,2.1039435290172572,control,4.990922657973691,1,3
86,0.3163901431949189,treated,2.6472964244164956,0,2
87,0.2986028814284128,control,3.013650514051937,0,1
88,1.274690200983463,treated,2.5290021010419657,1,2
89,0.16633951617667025,treated,3.9253515735391957,1,1
90,0.2553224774829306,treated,4.026569159966419,1,2
91,-0.3361732858058612,treated,3.4002964440085437,1,1
92,0.6685882166673862,treated,3.76472091903794,0,3
93,-2.1992751089986498,treated,-1.4796775017790773,0,1
94,0.821500756050683,treated,5.912862795879292,1,1
95,1.8481820839329117,treated,3.2142241688505813,1,3
96,1.2630461282127123,treated,3.4419963459538017,1,1
97,0.5955584487196897,treated,4.094716238331772,1,3
98,0.8636447745066576,control,1.4953309807999255,1,2
99,0.40416219798892417,treated,3.838955435287029,1,2
100,-1.314874984262051,treated,1.7138601933694655,0,1
101,-0.8862903784166165,treated,1.4420679224420623,0,1
102,0.4181826365687627,treated,3.5362984332466882,0,0
103,-0.001595631789141815,control,3.5080691464913256,1,1
104,-1.5285827303639588,treated,1.8289408196894184,0,0
105,-0.041534738197606634,treated,2.351683181574156,0,0
106,-1.4430284284047497,treated,0.8004903468701867,0,1
107,1.0277442265264851,control,3.6884399117861433,1,0
108,-0.011485399252019347,control,3.139813111097098,0,2
109,-1.065607592577882,control,1.6820536255790057,0,0
110,-0.01751587483192488,treated,2.5154358853078236,0,2
111,0.2151823316589877,control,2.3270050807744562,1,1
112,-1.5636745237766476,control,-0.002607157512863889,0,0
113,0.6685116366011727,control,2.2306590500383283,1,0
114,-0.536853313168863,treated,1.0988162482461243,0,1
115,-0.4847159926731673,control,1.4675095145378438,1,0
116,-0.471091598939573,treated,2.4850955974101043,0,2
117,0.13106227372720217,control,1.7736171250602333,0,0
118,-0.10595724611684483,control,1.708764650353099,1,1
119,0.28126651964740607,treated,3.239798848143163,0,0
120,-0.6983748478735803,control,1.3364144808216087,0,1
121,0.43445782443052117,control,4.296069723431404,0,1
122,-0.4124895485041758,treated,1.7871407305891294,1,1
123,-0.3414338570639974,treated,4.160648330594663,1,1
124,-0.7526917102308822,treated,1.5445901059370777,1,2
125,-0.4643170242974558,control,0.760410655928651,1,0
126,-1.1906343573354434,control,-0.09058977327712636,0,0
127,0.06013197881063337,control,1.3130199924870616,1,0
128,-0.2004703488370415,control,2.7759082745547383,0,2
129,1.820277498533269,treated,5.303549471555382,1,3
130,1.2199886439085066,treated,3.263373467514394,0,2
131,-0.04387015420349301,control,2.2683597258034465,1,3
132,-0.676155086758379,treated,0.6024838663394383,0,4
133,0.7664070921954869,control,2.3865547703035848,0,0
134,-0.14318745414563283,treated,1.416071499366463,0,2
135,-0.41197181740633315,control,2.975549550901863,0,1
136,-0.7704432839229914,treated,2.3494442013630725,0,0
137,2.042719047949771,treated,4.169984032348762,1,3
138,-0.6547800242183865,control,0.2209111378634352,0,2
139,-0.8530679191672665,treated,3.242664602085627,0,1
140,-0.7082462103555462,treated,2.311048090068459,0,2
141,-0.9489502547641046,treated,0.5818309315984194,0,0
142,1.390350688633909,treated,3.1384263495560747,0,3
143,-0.017462539468590152,treated,1.1223190770102462,1,5
144,0.5846251471330682,treated,1.4546760312336564,0,1
145,-1.1100736912374027,treated,1.647854030660679,1,1
146,-0.14539742434586214,treated,2.0986781350622894,1,4
147,-1.942383832264648,control,0.7948901771356384,0,1
148,-0.3875301954796103,treated,2.3635966017438435,0,0
